# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-14.0334839671 FRAG  NP NOT NP .
-7.56578524099 FRAG  INTJ CC S
-5.95914627301 FRAG  NNP POS NN _?
-7.56733924286 FRAG  NP VP _or ADVP NP VP
-6.8741920623 FRAG  CC VP .
-14.0334839671 FRAG  CC ADVP VP .
-5.37132500543 FRAG  CC VP
-5.48925943663 FRAG  _so PRP MD VP _.
-14.0334839671 FRAG  ADJP , NP .
-6.87496996977 FRAG  ADVP NP PP _.
-6.18221196999 FRAG  _a NN _.
-14.0334839671 FRAG  FRAG CC S .
-7.56733924286 FRAG  INTJ , NP COP NNS
-14.0334839671 FRAG  ADJP S .
-5.00382649525 FRAG  IN NNP .
-6.87496996977 FRAG  WHNP _about NP , NP _?
-6.87496996977 FRAG  NP VP _?
-14.0334839671 FRAG  INTJ , WHNP .
-7.56733924286 FRAG  WHNP ADVP _?
-14.0334839671 FRAG  INTJ , NP , INTJ .
-7.56733924286 FRAG  NP , PP _.
-5.62276302019 FRAG  _the NN SBAR .
-7.56578524099 FRAG  FRAG , CC S .
-5.08385921934 FRAG  _not NP _.
-7.56733924286 FRAG  CC _what , NP .
-6.8741920623 FRAG  PP CC S .
-5.62276302019 FRAG  NN _!
-14.0334839671 FRAG  NP , NP , CC NP .
-5.77687662247 FRAG  CC _he VP _.
-7.56733924286 FRAG  VP _, NNP
-7.56733924286 FRAG  JJ , ADJP
-7.56733924286 FRAG  ADVP NOT _.
-7.56733924286 FRAG  CC ADJP _?
-7.56578524099 FRAG  INTJ , SBAR
-6.46924549193 FRAG  ADJP .
-6.46924549193 FRAG  ADJP PP .
-14.0334839671 FRAG  INTJ , NP VP
-14.0334839671 FRAG  CC WHNP , NP .
-14.0334839671 FRAG  CC FRAG
-14.0334839671 FRAG  CC WHNP ADVP .
-7.56578524099 FRAG  VP ADVP .
-14.0334839671 FRAG  ADVP WHADVP
-7.56578524099 FRAG  NP WHNP NP .
-4.07234090207 FRAG  JJ NN _.
-14.0334839671 FRAG  WHNP NP .
-6.8741920623 FRAG  WHADVP WHNP .
-6.87496996977 FRAG  NP VP CC
-7.56578524099 FRAG  NP INTJ
-14.0334839671 FRAG  S CC S CC SBAR
-6.87496996977 FRAG  NOT VP _.
-5.95914627301 FRAG  DT JJ NN _?
-5.17085879769 FRAG  DT NN _?
-6.46976429868 FRAG  _oh , PP .
-14.0334839671 FRAG  TO SBARQ .
-6.18182278921 FRAG  INTJ WHNP .
-14.0334839671 FRAG  INTJ CC S .
-6.8741920623 FRAG  CC WHNP
