# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-7.22422598973 NNP  _Rin
-7.22422598973 NNP  _Beatle
-6.53243290552 NNP  _sir
-7.22422598973 NNP  _Kentucky
-7.22422598973 NNP  _Fine
-13.8295239107 NNP  _moon
-5.61695551245 NNP  _Butch
-7.22422598973 NNP  _Truck
-6.53243290552 NNP  _vl
-6.12741957063 NNP  _Africa
-5.28063827253 NNP  _Captain_Kangaroo
-6.12741957063 NNP  _Linda
-7.22422598973 NNP  _Agricultural
-5.83996346135 NNP  _Pembroke
-6.12741957063 NNP  _Rambler
-7.22422598973 NNP  _flupperc
-7.22422598973 NNP  _Hobo
-7.22422598973 NNP  _Douglas
-7.22422598973 NNP  _Barney
-6.53243290552 NNP  _Friday
-6.53243290552 NNP  _Museum
-5.02940996392 NNP  _Miss
-6.53243290552 NNP  _Japan
-7.22422598973 NNP  _peanuts
-7.22422598973 NNP  _Walt
-7.22422598973 NNP  _Bunny_Rabbit
-6.53243290552 NNP  _Easter
-7.22422598973 NNP  _ql
-7.22422598973 NNP  _Lead
-13.8295239107 NNP  _horn
-7.22422598973 NNP  _yl
-6.53243290552 NNP  _Sunday
-7.22422598973 NNP  _Lilly
-1.13783300182 NNPS  _Indians
-2.41079867763 NNPS  _Fruit_loops
-2.41079867763 NNPS  _Soakies
-1.41226984752 NNPS  _Camels
-2.41079867763 NNPS  _Bandaids
-1.79175946923 NNPS  _roses
-7.26347625811 NNS  _players
-5.87917062817 NNS  _tigers
-5.06860912993 NNS  _gloves
-7.26347625811 NNS  _footprints
-7.26347625811 NNS  _busses
-5.87917062817 NNS  _shapes
-5.87917062817 NNS  _vegetables
-6.16663153508 NNS  _diapers
-6.16663153508 NNS  _skins
-5.87917062817 NNS  _others
-7.26347625811 NNS  _peppers
-7.26347625811 NNS  _grapes
-6.16663153508 NNS  _potatoes
-7.26347625811 NNS  _grapefruit
-7.26347625811 NNS  _tonsils
-7.26347625811 NNS  _racers
-5.87917062817 NNS  _monkeys
-5.87917062817 NNS  _spots
-7.26347625811 NNS  _newscasts
-5.65615979966 NNS  _these
-6.57165445879 NNS  _turtles
-7.26347625811 NNS  _drops
-5.31983926783 NNS  _friends
-5.31983926783 NNS  _trucks
-7.26347625811 NNS  _forests
-6.57165445879 NNS  _shells
-6.16663153508 NNS  _crumbs
-7.26347625811 NNS  _Goldilocks
-7.26347625811 NNS  _Beatles
-7.26347625811 NNS  _cavemen
-6.57165445879 NNS  _buildings
-7.26347625811 NNS  _fences
-6.57165445879 NNS  _buttons
-5.87917062817 NNS  _houses
-6.57165445879 NNS  _skates
-6.57165445879 NNS  _cups
-4.62688175061 NNS  _pencils
-5.87917062817 NNS  _times
-5.06860912993 NNS  _crackers
-7.26347625811 NNS  _fishes
-6.57165445879 NNS  _signs
-4.62688175061 NNS  _glasses
-4.96327811758 NNS  _letters
-4.8679920775 NNS  _germs
-6.16663153508 NNS  _beds
-7.26347625811 NNS  _zeros
-7.26347625811 NNS  _gifts
-5.87917062817 NNS  _stars
-7.26347625811 NNS  _snakes
-7.26347625811 NNS  _eyebrows
-5.87917062817 NNS  _pins
-7.26347625811 NNS  _bikes
-6.57165445879 NNS  _turns
-7.26347625811 NNS  _pumpkins
-7.26347625811 NNS  _knees
-5.18635528767 NNS  _puppies
-7.26347625811 NNS  _Ramblers
-4.13040363008 NNS  _children
-7.26347625811 NNS  _tomatoes
-4.62688175061 NNS  _pieces
-7.26347625811 NNS  _bottoms
-5.18635528767 NNS  _arms
-7.26347625811 NNS  _paws
-7.26347625811 NNS  _bananas
-4.78100081739 NNS  _crayons
-6.57165445879 NNS  _lobsters
-7.26347625811 NNS  _rattles
-7.26347625811 NNS  _hippopotamus
-4.700975132 NNS  _boys
-7.26347625811 NNS  _nuns
-4.32155001845 NNS  _animals
-5.87917062817 NNS  _marbles
-7.26347625811 NNS  _matches
-6.16663153508 NNS  _pigeons
-7.26347625811 NNS  _machines
-5.87917062817 NNS  _Indians
-5.47392673453 NNS  _guns
-6.57165445879 NNS  _cities
-5.65615979966 NNS  _papers
-6.16663153508 NNS  _propellers
-6.57165445879 NNS  _months
-7.26347625811 NNS  _al
-4.43275920991 NNS  _men
-7.26347625811 NNS  _heads
-4.78100081739 NNS  _fingers
-7.26347625811 NNS  _kitties
-7.26347625811 NNS  _wires
-6.57165445879 NNS  _franks
-7.26347625811 NNS  _days
-6.57165445879 NNS  _tippytoes
-7.26347625811 NNS  _suspenders
-7.26347625811 NNS  _blouses
-6.57165445879 NNS  _spurts
-5.06860912993 NNS  _teeth
-6.16663153508 NNS  _rules
-5.87917062817 NNS  _puppets
-5.65615979966 NNS  _lots
-5.31983926783 NNS  _tires
-5.87917062817 NNS  _airplanes
-4.8679920775 NNS  _games
-6.57165445879 NNS  _noodles
-5.18635528767 NNS  _horses
-6.57165445879 NNS  _raspberries
-7.26347625811 NNS  _geese
-6.57165445879 NNS  _doggies
-5.65615979966 NNS  _legs
-4.96327811758 NNS  _numbers
-5.18635528767 NNS  _ears
-7.26347625811 NNS  _roads
-7.26347625811 NNS  _favorites
-7.26347625811 NNS  _arts
-7.26347625811 NNS  _knives
-5.87917062817 NNS  _napkins
-7.26347625811 NNS  _movies
-7.26347625811 NNS  _leaves
-7.26347625811 NNS  _alligators
-6.16663153508 NNS  _lions
-6.57165445879 NNS  _bugs
-6.57165445879 NNS  _doors
-5.87917062817 NNS  _elephants
-7.26347625811 NNS  _stores
-7.26347625811 NNS  _cleaners
-6.57165445879 NNS  _paints
-13.8901940074 NNS  _Soakies
-7.26347625811 NNS  _shrubs
-7.26347625811 NNS  _lunches
-5.18635528767 NNS  _quarts
-5.47392673453 NNS  _seals
-5.31983926783 NNS  _words
-5.06860912993 NNS  _doughnuts
-5.65615979966 NNS  _babies
-6.57165445879 NNS  _news
-5.87917062817 NNS  _directions
-6.57165445879 NNS  _hiccups
-5.65615979966 NNS  _penguins
-4.62688175061 NNS  _beans
-7.26347625811 NNS  _rockets
-7.26347625811 NNS  _tulips
-5.87917062817 NNS  _whales
-6.57165445879 NNS  _jokes
-7.26347625811 NNS  _songs
-7.26347625811 NNS  _fruits
-6.57165445879 NNS  _molars
-4.96327811758 NNS  _mittens
-4.55790152463 NNS  _cars
-6.57165445879 NNS  _forks
-7.26347625811 NNS  _towels
-6.57099154859 NNS  _tusks
-7.26347625811 NNS  _cereals
-4.49337406844 NNS  _boots
-5.47392673453 NNS  _peas
-6.57165445879 NNS  _kinds
-4.78100081739 NNS  _holes
-5.65615979966 NNS  _tracks
-5.87917062817 NNS  _bands
-6.16663153508 NNS  _cats
-7.26347625811 NNS  _yaks
-6.16663153508 NNS  _stamps
-7.26347625811 NNS  _trays
-6.57165445879 NNS  _fingernails
-7.26347625811 NNS  _mothers
-6.57165445879 NNS  _points
-6.16663153508 NNS  _pens
-7.26347625811 NNS  _Joes
-6.57165445879 NNS  _Winstons
-6.57165445879 NNS  _ends
-7.26347625811 NNS  _stands
-5.87917062817 NNS  _knots
-7.26347625811 NNS  _stripes
-7.26347625811 NNS  _groups
-4.700975132 NNS  _shoes
-6.57165445879 NNS  _boxes
-7.26347625811 NNS  _beads
-7.26347625811 NNS  _chipmunks
-7.26347625811 NNS  _bowls
-4.78100081739 NNS  _pictures
-7.26347625811 NNS  _quackerswp
-7.26347625811 NNS  _cuttings
-7.26347625811 NNS  _stories
-7.26347625811 NNS  _blankets
-5.47392673453 NNS  _colors
-7.26347625811 NNS  _belts
-7.26347625811 NNS  _cords
-7.26347625811 NNS  _blades
-6.57165445879 NNS  _rings
-7.26347625811 NNS  _masks
-4.22147987162 NNS  _books
-7.26347625811 NNS  _bombs
-6.57165445879 NNS  _pines
-7.26347625811 NNS  _sisters
-6.57165445879 NNS  _feathers
-5.87917062817 NNS  _seeds
-6.16663153508 NNS  _dishes
-6.57165445879 NNS  _cherries
-7.26347625811 NNS  _products
-5.87917062817 NNS  _hands
-7.26347625811 NNS  _clothespins
-7.26347625811 NNS  _hoses
-6.16663153508 NNS  _firemen
-7.26347625811 NNS  _divers
-5.87917062817 NNS  _trains
-7.26347625811 NNS  _dresses
-6.16663153508 NNS  _ducks
-5.87917062817 NNS  _boats
-5.87917062817 NNS  _ways
-7.26347625811 NNS  _binoculars
-7.26347625811 NNS  _woods
-7.26347625811 NNS  _clowns
-6.16663153508 NNS  _strawberries
-6.16663153508 NNS  _balls
-7.26347625811 NNS  _amoebas
-6.57165445879 NNS  _carrots
-6.16663153508 NNS  _weeks
-13.8901940074 NNS  _yours
-7.26347625811 NNS  _checks
-6.57165445879 NNS  _pans
-7.26347625811 NNS  _snowballs
-6.16663153508 NNS  _cakes
-7.26347625811 NNS  _cutters
-6.57165445879 NNS  _clippers
-6.57165445879 NNS  _bubbles
-6.57165445879 NNS  _bullets
-7.26347625811 NNS  _drives
-5.65615979966 NNS  _wings
-6.57165445879 NNS  _hours
-7.26347625811 NNS  _counters
-7.26347625811 NNS  _aunts
-4.37560947463 NNS  _eyes
-5.06860912993 NNS  _tricks
-7.26347625811 NNS  _spears
-6.16663153508 NNS  _checkers
-7.26347625811 NNS  _leopards
-7.26347625811 NNS  _popsicles
-6.57165445879 NNS  _mirrors
-5.87917062817 NNS  _chickens
-7.26347625811 NNS  _nails
-7.26347625811 NNS  _clotheslines
-7.26347625811 NNS  _panels
-4.43275920991 NNS  _eggs
-13.8901940074 NNS  _they
-5.06860912993 NNS  _cookies
-7.26347625811 NNS  _spoons
-7.26347625811 NNS  _presents
-6.16663153508 NNS  _dollies
-7.26347625811 NNS  _visitors
-5.65615979966 NNS  _cows
-7.26347625811 NNS  _sounds
-3.86484286706 NNS  _people
-7.26347625811 NNS  _surprises
-6.16663153508 NNS  _sardines
-6.16663153508 NNS  _pounds
-6.16663153508 NNS  _squirrels
-6.57165445879 NNS  _waves
-7.26347625811 NNS  _wagons
-5.65615979966 NNS  _birdies
-4.49320810711 NNS  _those
-5.47392673453 NNS  _cents
-5.18635528767 NNS  _lights
-7.26347625811 NNS  _dogs
-4.96327811758 NNS  _minutes
-6.57165445879 NNS  _tummies
-6.57165445879 NNS  _lips
-6.57165445879 NNS  _kittens
-7.26347625811 NNS  _buses
-3.12293081606 NNS  _things
-7.26347625811 NNS  _places
-6.16663153508 NNS  _clips
-7.26347625811 NNS  _cousins
-7.26347625811 NNS  _dese
-6.57165445879 NNS  _measles
-7.26347625811 NNS  _meals
-7.26347625811 NNS  _Adams
-6.57165445879 NNS  _designs
-7.26347625811 NNS  _groceries
-7.26347625811 NNS  _dey
-7.26347625811 NNS  _flags
-6.16663153508 NNS  _keys
-5.06860912993 NNS  _blocks
-7.26347625811 NNS  _eagles
-6.16663153508 NNS  _pigs
-7.26347625811 NNS  _records
-7.26347625811 NNS  _telephones
-7.26347625811 NNS  _dreams
-6.57165445879 NNS  _sunglasses
-6.57165445879 NNS  _batteries
-7.26347625811 NNS  _tanks
-7.26347625811 NNS  _toothpicks
-4.13051909019 NNS  _flowers
-5.65615979966 NNS  _pajamas
-6.57165445879 NNS  _suits
-4.96327811758 NNS  _pennies
-7.26347625811 NNS  _chairs
-7.26347625811 NNS  _ships
-6.16663153508 NNS  _vitamins
-7.26347625811 NNS  _schools
-6.57165445879 NNS  _Chocks
-5.18635528767 NNS  _hl
-5.87917062817 NNS  _windows
-5.31983926783 NNS  _trees
-7.26347625811 NNS  _kids
-5.87917062817 NNS  _names
-6.57165445879 NNS  _owls
-6.57165445879 NNS  _rabbits
-6.57165445879 NNS  _hats
-4.8679920775 NNS  _cowboys
-7.26347625811 NNS  _kitchens
-7.26347625811 NNS  _instructions
-7.26347625811 NNS  _quintuplets
-6.57165445879 NNS  _mountains
-6.16663153508 NNS  _fish
-7.26347625811 NNS  _riddles
-5.47392673453 NNS  _screws
-6.57165445879 NNS  _socks
-4.62678691444 NNS  _dollars
-4.55790152463 NNS  _feet
-5.31983926783 NNS  _pants
-7.26347625811 NNS  _lessons
-5.31983926783 NNS  _ladies
-6.16663153508 NNS  _tools
-7.26347625811 NNS  _banjos
-7.26347625811 NNS  _vaccines
-7.26347625811 NNS  _slippers
-7.26347625811 NNS  _cigarettes
-4.49337406844 NNS  _wheels
-6.57165445879 NNS  _moneys
-5.31983926783 NNS  _bears
-7.26347625811 NNS  _shirts
-7.26347625811 NNS  _chicks
-7.26347625811 NNS  _sailboats
-6.57165445879 NNS  _shoelaces
-3.73969013909 NNS  _toys
-7.26347625811 NNS  _onions
-6.57165445879 NNS  _girls
-7.26347625811 NNS  _gallons
-6.57165445879 NNS  _flies
-5.31983926783 NNS  _lines
-6.57165445879 NNS  _razors
-7.26347625811 NNS  _claws
-5.87917062817 NNS  _pliers
-7.26347625811 NNS  _corners
-4.78100081739 NNS  _scissors
-7.26347625811 NNS  _diamonds
-5.87917062817 NNS  _slides
-6.57165445879 NNS  _noses
-4.86787138472 NNS  _ones
-5.87917062817 NNS  _parts
-6.16663153508 NNS  _cranberries
-5.18635528767 NNS  _birds
-6.16663153508 NNS  _apples
-7.26347625811 NNS  _mouths
-7.26347625811 NNS  _spurs
-5.87917062817 NNS  _sticks
-6.57165445879 NNS  _handkerchiefs
-7.26347625811 NNS  _curds
-6.57165445879 NNS  _homes
-6.57165445879 NNS  _dolls
-6.57165445879 NNS  _rocks
-5.87917062817 NNS  _steps
-7.26347625811 NNS  _barbells
-7.26347625811 NNS  _controls
-6.16663153508 NNS  _balloons
-5.47392673453 NNS  _pillows
-5.47392673453 NNS  _raisins
-6.57165445879 NNS  _snails
-7.26347625811 NNS  _guys
-7.26347625811 NNS  _peanuts
-6.16663153508 NNS  _cards
-6.57165445879 NNS  _brothers
-5.65615979966 NNS  _pies
-5.06860912993 NNS  _clothes
-6.57165445879 NNS  _porcupines
-6.57165445879 NNS  _faces
-7.26347625811 NNS  _bites
-6.57165445879 NNS  _envelopes
-1.59188773652 NOT  _not
-0.237662876342 NOT  _n't
-5.52452389134 NOT  _no
-5.52077154172 NOT  _'t
-9.49506519472 NP  ADVP DT NN
-7.01124199417 NP  _cowboy
-8.10976002325 NP  _channel CD
-8.80276583108 NP  _any _boots
-9.49506519472 NP  CD NN VP
-7.01124199417 NP  DT _little _boy
-6.16391046862 NP  PRP$ NN
-7.01124199417 NP  DT _penny
-8.39720648559 NP  DT RB JJ NN
-7.70424778868 NP  NP NNP
-3.11942073418 NP  _that
-7.29890835607 NP  _Cromer
-7.41668353655 NP  DT _whole NN
-9.49506519472 NP  DT PRP
-9.49506519472 NP  CC CD
-3.6468465474 NP  NNS
-9.49506519472 NP  PRP$ VB
-9.49506519472 NP  DT JJR NN
-8.10976002325 NP  PRP$ _foot
-7.01124199417 NP  _the _button
-8.80248314556 NP  _a _time
-7.70424778868 NP  NNP NN
-16.9738000203 NP  PRP$ NNPS
-6.66294916236 NP  _the _floor
-8.39720648559 NP  CD CD
-8.10976002325 NP  _honey
-7.41668353655 NP  DT _blue _one
-8.80276583108 NP  PRP$ _little NN POS
-6.23807748504 NP  _anything
-4.87118969313 NP  _him
-7.41668353655 NP  PRP$ _hand
-16.9738000203 NP  JJ NNP NNP
-7.70434204382 NP  _bl
-8.10976002325 NP  _cowboy NN
-9.49563032612 NP  _the _baby POS
-16.9738000203 NP  ADVP NP
-7.88664474888 NP  PDT _the _way
-9.49506519472 NP  RB JJ NNS
-9.49563032612 NP  DT _school
-7.09824908644 NP  PRP$ _pencil
-7.29890835607 NP  _a _little _boy
-7.70434204382 NP  _it _all
-7.19355412461 NP  _his _nose
-8.80276583108 NP  _Robin _and NNP
-9.49506519472 NP  PRP VBZ
-7.19355412461 NP  _home
-7.41668353655 NP  _anybody
-7.19355412461 NP  _a _lobster
-16.9738000203 NP  CD PP
-8.10976002325 NP  _mud NNS
-7.88664474888 NP  _Mr _Cromer POS NN
-7.88664474888 NP  _your NN POS
-7.41668353655 NP  DT _trash _can
-16.9738000203 NP  CD CD NN
-8.10976002325 NP  _the _cow _'s _name
-6.93120291204 NP  _an _accident
-6.20031701486 NP  DT NNS
-5.62497119934 NP  _yourself
-9.49506519472 NP  NP VP
-8.10976002325 NP  _this _page
-8.80276583108 NP  _the _landing _tower
-16.9738000203 NP  DT DT JJ NNS
-9.49506519472 NP  NNS CD
-16.9738000203 NP  NNP CD
-4.34857963557 NP  _*T*
-5.85859473297 NP  _another NN
-5.16544011031 NP  DT JJ NN
-5.78260991509 NP  _the NN NN
-5.4186487466 NP  _Mommy
-7.88664474888 NP  _a _ring
-7.01124199417 NP  _the JJ _one
-7.29890835607 NP  DT _other
-5.58413883558 NP  _we
-6.45164640588 NP  PRP$ _mouth
-16.9738000203 NP  IN
-7.88664474888 NP  _last _night
-7.19355412461 NP  PRP$ _feet
-16.9738000203 NP  NP NP NP NP
-9.49563032612 NP  DT _children POS
-8.39739496924 NP  DT _Charles _River
-9.49563032612 NP  _all DT NN PP
-16.9738000203 NP  DT NN .
-8.39739496924 NP  CD _children
-9.49563032612 NP  NP NN -NONE-
-9.49506519472 NP  NP NP NP NP NP
-5.75848575884 NP  JJ NNS
-16.9738000203 NP  RB DT JJ NN
-9.49563032612 NP  _Joe
-9.49563032612 NP  _airplane
-8.80276583108 NP  _two NN NNS
-7.88664474888 NP  NNP POS _name
-6.16397106673 NP  _mine
-6.06219032726 NP  _the NN PP
-16.9738000203 NP  NP CC NP CC WHNP
-9.49506519472 NP  NNS S
-7.88664474888 NP  _too _much
-8.10976002325 NP  _someone
-7.88664474888 NP  _the _elephant
-7.55020482974 NP  _those JJ NNS
-7.29890835607 NP  _a _banjo
-16.9738000203 NP  JJR NN
-9.49563032612 NP  _momma _'s
-7.29884551635 NP  NN JJ
-6.3181183799 NP  _an NN
-7.88664474888 NP  _one PP
-9.49506519472 NP  DT JJR S
-8.10976002325 NP  _a JJ NN _or NP
-9.49563032612 NP  _part
-8.10976002325 NP  DT _bigger NN
-8.80248314556 NP  DT NN WHNP
-9.49506519472 NP  CD NN NP
-7.55020482974 NP  _something SBAR
-7.70434204382 NP  DT _string
-7.01124199417 NP  _something PP
-9.49506519472 NP  PRP NNS
-16.9738000203 NP  NP NP
-9.49563032612 NP  _Cambridge
-16.9738000203 NP  DT RBR
-6.85709804751 NP  _all _the NNS
-7.09824908644 NP  _the _sun
-6.66291589279 NP  _the _table
-8.80276583108 NP  DT JJR _throwing
-16.9738000203 NP  PRP NP
-9.49506519472 NP  NP NNP NNP
-9.49506519472 NP  DT NNP PP
-8.80276583108 NP  NNP _the NN
-7.01124199417 NP  DT NN _of NN
-7.01124199417 NP  DT _tape _recorder
-7.8865316459 NP  CD NNS PP
-7.55020482974 NP  _the _paint
-7.19355412461 NP  PRP$ _hands
-7.8865316459 NP  NN PP SBAR
-9.49563032612 NP  NP _and NP _what
-16.9738000203 NP  PRP$ JJ NN NN
-7.01124199417 NP  _nothing
-9.49563032612 NP  _bow _and NN
-7.55020482974 NP  _any
-9.49506519472 NP  INTJ
-7.8865316459 NP  CD NN PP
-8.80276583108 NP  _the _play _toy
-7.41661284269 NP  PRP$ NN NNS
-8.80276583108 NP  _an _egg
-7.09824908644 NP  _anything _else
-9.49506519472 NP  PDT DT NNS PP ADVP
-6.50043522339 NP  DT _ball
-6.09497954191 NP  PRP$ _head
-16.9738000203 NP  NNS POS
-8.39739496924 NP  RB _many
-6.55172702937 NP  _your NN NN
-8.80276583108 NP  _anything _*NULL* NP VP
-6.93120291204 NP  DT _scissors
-8.10976002325 NP  NNP _Smith .
-7.09824908644 NP  _Daddy
-7.19355412461 NP  _the _water
-7.55020482974 NP  _a _nap
-8.80276583108 NP  _a _police _whistle
-7.70434204382 NP  _Rusty
-8.39739496924 NP  DT _other _way
-5.68944530728 NP  _she
-8.39720648559 NP  DT PP
-3.20832144723 NP  _a NN
-5.40184178806 NP  _some NNS
-16.9738000203 NP  DT DT
-9.49563032612 NP  NN _another
-9.49506519472 NP  JJ CD NN
-8.80248314556 NP  PRP$ NNP NN
-16.9738000203 NP  VB
-16.9738000203 NP  DT NN PP PP
-6.50040694405 NP  DT JJ NNS
-7.70424778868 NP  NN _.
-8.80248314556 NP  PRP$ NN S
-8.39739496924 NP  _one IN _a _time
-16.9738000203 NP  DT NN CD
-8.39739496924 NP  _Rusty POS _hat
-8.80276583108 NP  JJ DT _little NN
-9.49506519472 NP  RB NN
-7.88664474888 NP  _an _arrow
-8.39739496924 NP  _just DT NN
-7.70434204382 NP  NNP _and _Cromer
-9.49563032612 NP  DT _beginning NN PP
-6.09494183594 NP  CD NNS
-9.49506519472 NP  PDT DT NN NNS
-16.9738000203 NP  NNP DT NN
-6.55169726171 NP  _some _more
-8.80276583108 NP  _the _hole
-7.01119486326 NP  NP SBAR
-4.51940352491 NP  _Adam
-3.8331999469 NP  NN
-8.39739496924 NP  _top PP
-16.9738000203 NP  NNP NNP .
-7.88664474888 NP  _a NN _fly
-8.80276583108 NP  _Daddy POS NN NN
-8.80276583108 NP  NNP _'s NN
-7.70434204382 NP  _fun
-8.10961865052 NP  NNP NNP POS
-8.10976002325 NP  DT _box
-6.7881078693 NP  _a _minute
-8.80276583108 NP  _new _cars
-8.80276583108 NP  DT _rubber _band
-9.49563032612 NP  NP _name
-5.64602410712 NP  _some
-7.88664474888 NP  CD _of NP
-7.88664474888 NP  _Paul _and _Diandra
-8.39739496924 NP  _the _television _set
-8.80276583108 NP  _dl
-16.9738000203 NP  NP ADVP
-16.9738000203 NP  CD JJR NN
-8.39720648559 NP  DT NNP NNP
-16.9738000203 NP  VP CC VP
-6.45164640588 NP  PRP$ _finger
-7.70434204382 NP  DT _camel
-7.88664474888 NP  _the _animals
-8.10976002325 NP  _the _other NN _of NP
-8.80248314556 NP  PRP$ NN NN NN
-6.72357170479 NP  _something _else
-8.80276583108 NP  DT _broken _doll
-8.10976002325 NP  _eight CD
-16.9738000203 NP  RB JJ
-6.12888044347 NP  _the JJ NN
-8.39739496924 NP  _they DT
-7.88664474888 NP  _this _morning
-8.10976002325 NP  _some JJ _ones
-16.9738000203 NP  DT NN NN NP
-7.8865316459 NP  NP NNS
-9.49563032612 NP  CD DT NN _of _milk
-8.10976002325 NP  _the NNP NN
-16.9738000203 NP  PRP ADVP
-8.80276583108 NP  _New NNP
-9.49506519472 NP  PDT DT NN NN POS
-7.41668353655 NP  DT _other NNS
-4.15864138182 NP  _your NN
-8.39739496924 NP  _tomato NN
-16.9738000203 NP  DT ADJP NN
-9.49506519472 NP  JJ NN NN
-6.16397106673 NP  _a JJ _one
-8.80248314556 NP  CD CD NNP NNP
-8.80276583108 NP  NP SBAR _that S
-7.88664474888 NP  PRP$ _tricycle
-7.19349756832 NP  _honey _.
-7.41668353655 NP  _money
-8.39739496924 NP  RB _a JJ NN
-7.70434204382 NP  _a _little JJR
-8.39739496924 NP  _Santa _Claus
-8.80276583108 NP  _a _Texaco _star
-8.80276583108 NP  _no JJR _sugar
-16.9738000203 NP  ADJP NN
-8.39739496924 NP  PRP$ _paper
-8.39739496924 NP  _both NNS
-7.41668353655 NP  _the _door
-5.26207287811 NP  _something
-8.39739496924 NP  _tattooed _man
-4.29767062192 NP  _this
-5.58412752381 NP  _there
-6.66294916236 NP  _the _other NN
-8.10976002325 NP  _no JJR
-8.39739496924 NP  _dear .
-9.49506519472 NP  DT JJ JJ JJ NN
-16.9738000203 NP  DT VBG NNP NN
-16.9738000203 NP  PRP$ NNS NP
-8.39739496924 NP  _a _little _bit
-7.88664474888 NP  _a _sword
-6.45164640588 NP  _the _other _one
-16.9738000203 NP  DT DT NNS
-16.9738000203 NP  NP NN PP
-8.80276583108 NP  NP _, NP _and NP
-9.49506519472 NP  RB DT
-7.70415354241 NP  _Adam .
-16.9738000203 NP  INTJ , INTJ
-16.9738000203 NP  NP S
-7.70434204382 NP  _the _cover
-7.09824908644 NP  _their NNS
-9.49563032612 NP  _a VBG NNP NN
-6.09494183594 NP  NNP POS NN
-16.9738000203 NP  DT NNP POS
-9.49506519472 NP  NNP ,
-7.29884551635 NP  NNPS
-16.9738000203 NP  PDT
-9.49506519472 NP  DT VBG NNS
-7.88664474888 NP  _enough
-6.60579259686 NP  _water
-16.9738000203 NP  DT JJ NN NN NN
-8.80276583108 NP  _the _little NN
-8.10961865052 NP  UH
-9.49506519472 NP  DT NNP NNP NN
-8.10961865052 NP  VBG NNS
-8.80276583108 NP  _such DT JJ NNS
-7.88664474888 NP  _any JJR NN
-7.55012403798 NP  JJ NNP
-5.29149471578 NP  _a NN NN
-8.80276583108 NP  DT _church _hat
-7.41668353655 NP  _David POS
-16.9738000203 NP  NP PP SBAR
-6.93120291204 NP  _these NNS
-7.01124199417 NP  NP _or NP
-9.49563032612 NP  _the _saddle
-8.39720648559 NP  NN .
-7.55020482974 NP  _Ursula _'s NN
-9.49506519472 NP  PDT NP NNS
-5.83260512569 NP  _a NN PP
-8.10976002325 NP  _the _sky
-8.80276583108 NP  _nursery _school
-16.9738000203 NP  DT WP
-6.78807016405 NP  NN PP
-16.9738000203 NP  DT NNP NN
-16.9738000203 NP  DT NNPS
-9.49563032612 NP  _a JJ NNS PP
-6.85709804751 NP  _the _wheels
-8.10976002325 NP  _your _popcorn
-5.26206468102 NP  _those
-8.80276583108 NP  DT _same PP
-16.9738000203 NP  NN ADVP
-9.49563032612 NP  _North_Carolina
-7.19355412461 NP  _my _purse
-7.09824908644 NP  _the _way SBAR
-8.39739496924 NP  CD _o' NN
-9.49563032612 NP  _peekaboo
-9.49506519472 NP  JJ VBG NNS
-8.80276583108 NP  DT _green _arm
-6.72357170479 NP  DT NN _of NP
-9.49563032612 NP  PDT _a JJ JJ NN
-9.49506519472 NP  RB JJ NN
-9.49506519472 NP  DT JJR NNS PP
-7.88630547831 NP  _'s
-16.9738000203 NP  NP ADVP CC NP
-7.88664474888 NP  _a _nice JJ NN
-9.49506519472 NP  DT JJS NN
-8.10976002325 NP  _his _head
-9.49563032612 NP  NP NP NN CC NP
-7.8865316459 NP  DT CD
-7.01124199417 NP  PRP _all
-9.49563032612 NP  DT CD _sixty CD NNP NNS
